step,agent_0_x,agent_0_y,agent_0_z,agent_1_x,agent_1_y,agent_1_z,agent_2_x,agent_2_y,agent_2_z
0,2.0,2.0,2.0,3.5,1.5,3.0,1.5,3.5,3.5
1,2.3081125020980835,2.309693396091461,2.5999348163604736,4.093426585197449,2.0535709261894226,3.599988877773285,1.425524763762951,4.099981725215912,4.099898815155029
2,2.6330504417419434,2.610017627477646,3.1999017000198364,4.679279625415802,2.5545313358306885,4.199980437755585,1.4047056064009666,4.699959218502045,4.699859976768494
3,2.9601361453533173,2.905786395072937,3.7998746633529663,5.262633740901947,2.731489673256874,4.799954950809479,1.3318141400814056,5.299936234951019,5.299806177616119
4,3.305615156888962,3.199223071336746,4.3998560309410095,5.840779066085815,3.3290401250123978,5.3985708355903625,1.2718104906380177,5.899919390678406,5.899750709533691
5,3.6354839205741882,3.477811336517334,4.999827086925507,5.972030878067017,3.9290309101343155,5.998298466205597,1.2174984328448772,6.499903440475464,6.499703109264374
6,3.9292314648628235,3.7463782131671906,5.599797189235687,6.5307968854904175,4.528825715184212,6.598269701004028,1.2910502292215824,7.099880158901215,7.099633693695068
7,4.201669663190842,4.050933003425598,6.199769198894501,7.093458592891693,5.124469414353371,7.198242962360382,1.3899624235928059,7.699862003326416,7.699483811855316
8,4.515256077051163,4.344868332147598,6.799749791622162,7.165833801031113,5.724421814084053,7.798237562179565,1.4389142394065857,8.299832165241241,8.299407184123993
9,4.826828688383102,4.620432108640671,7.399737536907196,7.644025683403015,6.324361398816109,8.398215770721436,1.5718318969011307,8.899787247180939,8.899324417114258
10,4.496274381875992,5.106332957744598,7.999716579914093,8.230834901332855,6.9238917380571365,8.998188853263855,1.5715165954316035,9.499700963497162,9.499217808246613
11,3.960227459669113,5.6332802176475525,8.599663615226746,8.706624418497086,7.523718312382698,9.5980863571167,1.6116614375496283,10.099648892879486,10.099088072776794
12,4.3016442358493805,5.929309546947479,9.199637472629547,9.164611339569092,8.123186483979225,10.198072493076324,2.161412838497199,10.699641764163971,10.698827505111694
13,4.662454962730408,6.234487235546112,9.799626111984253,9.577690243721008,8.722822740674019,10.798060059547424,2.7498335276031867,11.299626350402832,11.298547267913818
14,5.051828444004059,6.573491960763931,10.399614989757538,10.017894357442856,9.322563782334328,11.39805793762207,3.3428571854019538,11.899608671665192,11.898336946964264
15,5.483740568161011,6.90248429775238,10.99960732460022,10.451364696025848,9.922508850693703,11.997911095619202,3.9257942471886054,12.49958211183548,12.497993409633636
16,5.933902412652969,7.218162357807159,11.599600791931152,10.615937680006027,10.522457376122475,12.595398664474487,4.518175128498115,13.099552810192108,13.09758722782135
17,6.365328997373581,7.51077726483345,12.199593186378479,10.844789624214172,11.122375443577766,13.158090829849243,5.117445353069343,13.6993847489357,13.69683164358139
18,6.752444386482239,7.816789239645004,12.799577832221985,11.080632284283638,11.722353592514992,13.662423968315125,5.717256668605842,14.299181044101715,14.293720245361328
19,7.111076056957245,8.105780750513077,13.39954537153244,11.336052611470222,12.32224853336811,14.141501784324646,6.317154053249396,14.898737072944641,14.887613832950592
20,7.489925771951675,8.410935282707214,13.99951708316803,11.533833771944046,12.922157242894173,14.318137124180794,6.917079392471351,15.497236669063568,15.472595274448395
21,7.862831085920334,8.69156739115715,14.599360167980194,11.72389779984951,13.522048488259315,14.41013789921999,7.517049435176887,16.08575350046158,16.028802812099457
22,8.362196654081345,8.92126940190792,15.199312329292297,11.880524545907974,14.121820822358131,14.548228435218334,8.117025021114387,16.671064257621765,16.527405470609665
23,8.880276054143906,9.172395840287209,15.799217462539673,12.26610842347145,14.692870631814003,14.61041609570384,8.71700364688877,17.238888442516327,16.978307008743286
24,9.416822999715805,9.42847041785717,16.399077892303467,12.56099021434784,15.291463688015938,14.70863712951541,9.316969576873817,17.817814111709595,17.494130432605743
25,9.794974565505981,9.699631437659264,16.997687578201294,12.822785526514053,15.889797404408455,14.786069814115763,9.91692835430149,18.029886826872826,17.466239776462317
26,10.194039642810822,9.97758300602436,17.597012996673584,13.105963706970215,16.48473758995533,14.776688260026276,10.516897502937354,18.475523307919502,17.613733392208815
27,10.696746826171875,10.228783831000328,18.19639539718628,13.457665652036667,17.076103642582893,14.665473123081028,11.116845432319678,18.675223618745804,17.632181372493505
28,11.279910624027252,10.467682778835297,18.796321094036102,13.819106847047806,17.628933623433113,14.55419070739299,11.716784122982062,19.244202703237534,17.929451402276754
29,11.877848446369171,10.67760081589222,19.396284520626068,14.385946244001389,17.897881790995598,14.623481151647866,12.316679779090919,19.578278720378876,18.010504979640245
30,12.475694239139557,10.910581916570663,19.996257662773132,14.881950289011002,18.178961381316185,14.598212704993784,12.916581514873542,19.759370654821396,17.995006809942424
31,13.07428753376007,11.164621531963348,20.0,15.359692007303238,18.132880851626396,14.894292251206934,13.516446057357825,19.851194627583027,17.930222283117473
32,13.673671185970306,11.563482791185379,20.0,15.652338951826096,18.25269788503647,15.094919920898974,14.116319242515601,19.81047548726201,17.804473261348903
33,14.272032380104065,12.044400990009308,20.0,16.15962865948677,18.205647561699152,15.433124990202487,14.716204169788398,19.69366453960538,17.539079169742763
34,14.866789281368256,12.606441915035248,20.0,16.419167041778564,18.457118544727564,15.803713561035693,15.315784934558906,19.64688152074814,17.279677907936275
35,15.463788032531738,13.185669600963593,20.0,16.689247399568558,18.71292820945382,16.224633635021746,15.914581719436683,19.508297875523567,16.86834121774882
36,16.06195604801178,13.784570038318634,20.0,16.689247399568558,18.71292820945382,16.224633635021746,16.493571702041663,19.254221811890602,16.35429675411433
37,16.66102957725525,14.38451075553894,20.0,16.689247399568558,18.71292820945382,16.224633635021746,17.048276666202582,18.706143751740456,15.901905487291515
38,17.26065868139267,14.984502077102661,20.0,16.689247399568558,18.71292820945382,16.224633635021746,17.616785112419166,18.111121490597725,15.521986107341945
39,17.860426545143127,15.5845006108284,20.0,16.689247399568558,18.71292820945382,16.224633635021746,18.212942484417,17.511134281754494,15.098186205141246
40,18.45980727672577,16.184500575065613,20.0,16.689247399568558,18.71292820945382,16.224633635021746,18.811014059581794,16.911134377121925,15.212818528525531
41,19.05947983264923,16.784500420093536,20.0,16.689247399568558,18.71292820945382,16.224633635021746,19.38601672986988,17.41025285422802,15.812791670672596
42,19.658736765384674,17.384500324726105,20.0,16.689247399568558,18.71292820945382,16.224633635021746,19.32721516455058,16.825394734740257,16.41277428995818
43,20.0,17.984388530254364,20.0,16.689247399568558,18.71292820945382,16.224633635021746,19.352060138829984,17.425003692507744,17.01276972424239
44,19.7689840644598,18.584250032901764,20.0,16.689247399568558,18.71292820945382,16.224633635021746,18.75313895905856,16.825739189982414,17.610484088771045
45,19.369615897536278,18.10554039478302,19.432863771915436,16.689247399568558,18.71292820945382,16.224633635021746,18.75313895905856,16.825739189982414,17.610484088771045
46,18.819000765681267,17.719205886125565,18.851788818836212,16.689247399568558,18.71292820945382,16.224633635021746,18.75313895905856,16.825739189982414,17.610484088771045
47,18.534118428826332,18.3188736140728,19.02484829723835,16.689247399568558,18.71292820945382,16.224633635021746,18.75313895905856,16.825739189982414,17.610484088771045
48,18.21111471951008,17.797655135393143,18.436522021889687,16.689247399568558,18.71292820945382,16.224633635021746,18.75313895905856,16.825739189982414,17.610484088771045
